mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver,mpa_name,mpa_type
367107830,2025-02-10 17:40:48,-120.85637,35.36988,0.0,,,PAPAGALLO II,,WDC9874,60.0,,24.0,6.0,,,B,Morro Bay SMRMA,SMRMA
367027990,2025-02-10 17:47:00,-120.8585,35.37022,6.7,307.6,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338143454,2025-02-10 17:46:54,-120.85699,35.36986,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
211503810,2025-02-10 17:48:04,-120.8564,35.36819,0.1,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
368399640,2025-02-10 17:47:21,-120.47275,34.43823,4.7,90.7,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
368173330,2025-02-10 02:59:33,-118.50503,33.43163,0.0,15.6,,CATBIRD,,WDL8831,36.0,,11.0,2.0,,,B,Cat Harbor SMCA,SMCA
368399640,2025-02-10 17:50:24,-120.4664,34.43803,5.5,97.5,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
338400762,2025-02-10 17:46:52,-117.89404,33.61986,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
368320160,2025-02-10 17:46:42,-120.85713,35.37008,0.0,312.7,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338174439,2025-02-10 17:47:55,-117.89514,33.61942,0.0,348.5,,ANN-ELYSE,,,37.0,,10.0,7.0,,,B,Upper Newport Bay SMCA,SMCA
366999858,2025-02-10 02:59:24,-120.85865,35.37095,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
338142675,2025-02-10 17:49:06,-117.89561,33.62234,0.1,131.9,,NUEVO,,,37.0,,20.0,6.0,,,B,Upper Newport Bay SMCA,SMCA
338143454,2025-02-10 17:50:03,-120.85698,35.36986,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
368167990,2025-02-10 17:49:38,-117.89484,33.62188,0.0,172.3,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
211503810,2025-02-10 03:00:04,-120.85607,35.36791,0.0,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
367027990,2025-02-10 17:48:59,-120.86272,35.36995,6.7,222.4,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
367659210,2025-02-10 17:52:18,-117.24997,32.66575,1.9,104.4,,OCEANUS,,WDH8556,34.0,0.0,12.0,4.0,,34.0,A,Cabrillo SMR,SMR
367027990,2025-02-10 17:45:30,-120.85588,35.36843,6.5,314.8,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
368399640,2025-02-10 17:46:18,-120.47482,34.43823,5.5,91.7,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
211503810,2025-02-10 17:51:03,-120.85644,35.36818,0.0,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
367659210,2025-02-10 17:54:45,-117.24999,32.66602,0.7,45.2,,OCEANUS,,WDH8556,34.0,0.0,12.0,4.0,,34.0,A,Cabrillo SMR,SMR
368167990,2025-02-10 17:52:37,-117.89484,33.62188,0.0,172.3,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
367027990,2025-02-10 17:51:27,-120.86631,35.36525,9.0,204.7,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338173579,2025-02-10 23:19:33,-122.96565,37.94304,6.7,145.6,,KAREN JEANNE,,,37.0,,14.0,6.0,,,B,Point Reyes SMCA,SMCA
367659210,2025-02-10 17:55:56,-117.2498,32.66611,0.0,64.2,,OCEANUS,,WDH8556,34.0,0.0,12.0,4.0,,34.0,A,Cabrillo SMR,SMR
338143454,2025-02-10 17:53:02,-120.85698,35.36985,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
366999858,2025-02-10 03:01:13,-120.85864,35.37097,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
367659210,2025-02-10 17:57:06,-117.24914,32.6662,4.3,128.6,,OCEANUS,,WDH8556,34.0,0.0,12.0,4.0,,34.0,A,Cabrillo SMR,SMR
367107830,2025-02-10 17:49:47,-120.85639,35.36987,0.0,,,PAPAGALLO II,,WDC9874,60.0,,24.0,6.0,,,B,Morro Bay SMRMA,SMRMA
338174439,2025-02-10 17:53:54,-117.89512,33.61941,0.1,348.5,,ANN-ELYSE,,,37.0,,10.0,7.0,,,B,Upper Newport Bay SMCA,SMCA
367659210,2025-02-10 17:58:33,-117.24783,32.66366,10.0,147.2,,OCEANUS,,WDH8556,34.0,0.0,12.0,4.0,,34.0,A,Cabrillo SMR,SMR
338143454,2025-02-10 17:56:15,-120.85697,35.36985,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
