mmsi,mpa_name,mpa_type,n_pings,mean_speed,speed_std,mean_heading_change_rate,time_in_mpa_minutes,max_stationary_minutes,n_direction_reversals
368174080,Montara SMR,SMR,26.0,5.565384615384616,0.5128669850738087,3.453225603074297,36.0,0.0,0.0
368174080,Pillar Point SMCA,SMCA,12.0,5.533333333333334,0.3880148908940939,2.970608089644747,16.45,0.0,0.0
368174080,Point Reyes SMCA,SMCA,3.0,4.966666666666667,0.7586537784494028,5.573868256980219,3.0166666666666666,0.0,0.0
368291930,Crystal Cove SMCA,SMCA,33.0,4.196969696969697,1.5367192224927415,9.02793324130985,87.06666666666666,0.0,1.0
368320160,Morro Bay SMRMA,SMRMA,455.0,0.0028571428571428,0.0166598625567008,2.8704240156456238,1437.0333333333333,1437.0333333333333,0.0
368399640,Campus Point SMCA (No-Take),SMCA (No-Take),16.0,6.25,0.5979130371550697,3.028274099451133,25.016666666666666,0.0,0.0
368399640,Point Conception SMR,SMR,36.0,6.033333333333334,1.4110673659011148,11.649955343346372,53.38333333333333,0.0,0.0
369006000,Scorpion FMR,FMR,9.0,11.477777777777778,0.0415739709641547,0.4977664572886062,10.5,0.0,0.0
431312000,Anacapa Island FMR,FMR,10.0,9.37,0.0458257569495582,1.0312011160676735,13.666666666666666,0.0,0.0
431312000,Anacapa Island SMR,SMR,3.0,9.4,0.0,0.1291925465838435,2.316666666666667,0.0,0.0
431312000,Scorpion FMR,FMR,9.0,9.255555555555553,0.1165343164633505,0.2490551682409345,12.5,0.0,0.0
440151000,Scorpion FMR,FMR,7.0,16.54285714285714,0.04948716593054,0.0,7.566666666666666,0.0,0.0
477441800,Scorpion FMR,FMR,5.0,17.380000000000003,0.0399999999999991,0.2870358807858819,6.9,0.0,0.0
564966000,Anacapa Island FMCA,FMCA,5.0,11.9,0.0,0.3751116822101583,4.5,0.0,0.0
564966000,Anacapa Island FMR,FMR,6.0,11.366666666666667,0.17950549357115,0.9288568935427572,9.683333333333334,0.0,0.0
564966000,Anacapa Island SMR,SMR,4.0,11.2,0.0,0.4294695710494934,3.5,0.0,0.0
564966000,Scorpion FMR,FMR,7.0,11.685714285714283,0.0349927106111881,0.4668919312979292,7.35,0.0,0.0
564966000,Scorpion SMR,SMR,3.0,11.699999999999998,1.7763568394002505e-15,0.4666666666666618,2.6666666666666665,0.0,0.0
636017386,Scorpion FMR,FMR,10.0,11.09,0.0699999999999997,0.2439452919702938,11.316666666666666,0.0,0.0
