# 24-hour MPA fishing-entry forecast for 2024-06-03. 1729 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 338467817 (UNNAMED), 0.9 km from Año Nuevo SMR with a risk score of 1.00, driven by: traffic_within_10km; dist_to_mpa_m; day_of_week.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
338379767,SOLSTICE,0.0,Edward F. Ricketts SMCA,534.178,0.0,349.3,True,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:00:11,36.604,-121.891
338382619,S/V BAD CAT,0.0,Blue Cavern Offshore SMCA,1412.352,7.5,41.9,False,0.0,0.0,traffic_within_10km; day_of_week; dist_to_mpa_m,2024-06-03 18:00:33,33.481,-118.465
338003172,SPELLBOUND,0.0,Casino Point SMCA (No-Take),316.826,0.0,37.0,True,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 06:01:17,33.346,-118.326
368166370,LIFE AQUATIC,0.0,Anacapa Island FMR,19500.533,0.0,129.1,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:32:16,34.24,-119.262
367301480,VALOR,0.0,Fagan Marsh SMP,19821.994,5.5,302.6,False,0.0,0.0,dist_to_mpa_m; day_of_week; sog,2024-06-03 06:05:51,38.053,-122.183
338392189,ARGO,0.0,Anacapa Island FMR,15103.506,0.1,360.0,False,1.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 14:30:02,34.168,-119.228
338172029,GOTTA GO,0.0,Dana Point SMCA,919.263,0.1,244.1,True,0.0,0.0,wind_dir_deg; day_of_week; dist_to_mpa_m,2024-06-03 06:00:05,33.46,-117.695
338443000,C-RANGER,0.0,Dana Point SMCA,898.825,0.0,229.1,False,0.0,0.0,wind_dir_deg; day_of_week; heading,2024-06-03 06:01:39,33.459,-117.695
338302249,VALHOWELL,0.0,Anacapa Island FMR,19840.987,0.0,247.3,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 18:02:03,34.244,-119.263
367408930,LUCY FOSS,0.0,Point Vicente SMCA (No-Take),17540.448,4.0,103.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; heading,2024-06-03 18:00:01,33.905,-118.459
338210797,AURORA,0.0,Goleta Slough SMCA (No-Take),12208.843,0.1,360.0,False,0.0,0.0,wind_dir_deg; day_of_week; sog,2024-06-03 06:04:06,34.407,-119.689
338323728,LADY LIBERTY,0.0,Goleta Slough SMCA (No-Take),12186.244,0.1,360.0,False,0.0,0.0,wind_dir_deg; day_of_week; sog,2024-06-03 06:05:18,34.405,-119.69
338186925,TYEE,0.0,Pillar Point SMCA,2417.618,2.5,127.4,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 13:50:32,37.477,-122.481
368073820,SIN LIMITES,0.0,Point Vicente SMCA (No-Take),19616.724,10.4,177.6,True,0.0,0.0,dist_to_mpa_m; tide_height_m; day_of_week,2024-06-03 16:07:37,33.924,-118.459
367649040,FOXI LADY,0.0,Dana Point SMCA,1011.968,0.1,332.8,False,0.0,0.0,wind_dir_deg; day_of_week; dist_to_mpa_m,2024-06-03 06:01:32,33.459,-117.694
368164540,ANGELS NAVIGATOR,0.0,Abalone Cove SMCA,9965.121,20.2,119.6,False,0.0,0.0,sog; day_of_week; heading,2024-06-03 18:30:23,33.718,-118.268
338237725,MAHALO,0.0,Edward F. Ricketts SMCA,594.8,0.0,341.0,True,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:01:47,36.603,-121.89
