# 24-hour MPA fishing-entry forecast for 2024-08-12. 1879 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 367104040 (KNOX T), 1.0 km from Naples SMCA with a risk score of 1.00, driven by: prior_mpa_entries; traffic_within_10km; dist_to_mpa_m.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
338401702,ATALANTA,0.748,Edward F. Ricketts SMCA,35.776,4.9,142.7,False,26.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 00:00:12,36.619,-121.896
368047520,THINK GOOD THOUGHTS,0.748,Scorpion SMR,3105.85,0.1,360.0,True,5.0,0.0,traffic_within_10km; prior_mpa_entries; peak_hour,2024-08-12 22:29:13,34.018,-119.54
338181008,JANICE O,0.744,Bolsa Bay SMCA,336.788,0.1,62.5,False,4.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 06:02:57,33.714,-118.063
366771550,NAPA,0.744,Corte Madera Marsh SMP,349.793,0.0,10.2,False,59.0,0.0,prior_mpa_entries; peak_hour; traffic_within_10km,2024-08-12 12:26:31,37.945,-122.508
368198510,LEOMA,0.743,Anacapa Island FMR,19985.772,1.8,264.0,False,18.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 19:08:37,34.245,-119.261
538070979,BUTTERFLY,0.741,Edward F. Ricketts SMCA,44.605,0.0,211.4,False,3.0,0.0,traffic_within_10km; dist_to_mpa_m; prior_mpa_entries,2024-08-12 12:00:21,36.609,-121.892
368339360,PIRANHA VII,0.737,Morro Bay SMRMA,8.901,0.0,292.5,False,23.0,0.0,traffic_within_10km; prior_mpa_entries; dist_to_mpa_m,2024-08-12 12:03:34,35.363,-120.853
367146720,MALIHINI,0.737,Tijuana River Mouth SMCA,4915.632,6.8,278.9,False,1.0,1.0,sog; traffic_within_10km; prior_mpa_entries,2024-08-12 18:00:39,32.548,-117.202
338179782,ROYAL SLAM,0.736,Casino Point SMCA (No-Take),138.408,0.0,360.0,True,9.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 14:15:12,33.348,-118.326
338391817,AA,0.736,Dana Point SMCA,164.315,0.7,213.1,True,4.0,0.0,sog; prior_mpa_entries; dist_to_mpa_m,2024-08-12 09:52:31,33.461,-117.705
368280860,JEREMIAH,0.734,Edward F. Ricketts SMCA,372.867,5.0,96.5,False,38.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 18:24:25,36.606,-121.886
367122750,SAIL A VIE,0.732,Robert W. Crown SMCA,12694.362,6.1,179.9,False,6.0,0.0,sog; prior_mpa_entries; traffic_within_10km,2024-08-12 13:29:13,37.67,-122.359
